,title,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,lower_title,_merge
5445,The Princess Diaries,tt0247638,movie,The Princess Diaries,The Princess Diaries,0,2001,\N,115,"Comedy,Family,Romance",the princess diaries,both
5450,The Princess Diaries 2: Royal Engagement,tt0368933,movie,The Princess Diaries 2: Royal Engagement,The Princess Diaries 2: Royal Engagement,0,2004,\N,113,"Comedy,Family,Romance",the princess diaries 2 royal engagement,both
5454,The Reluctant Dragon,tt0034091,movie,The Reluctant Dragon,The Reluctant Dragon,0,1941,\N,74,"Animation,Comedy,Family",the reluctant dragon,both
5465,The Rescuers,tt0076618,movie,The Rescuers,The Rescuers,0,1977,\N,78,"Adventure,Animation,Comedy",the rescuers,both
5468,The Rescuers,tt1346308,movie,The Rescuers,The Rescuers,0,2011,\N,94,Documentary,the rescuers,both
5481,The Rescuers Down Under,tt0100477,movie,The Rescuers Down Under,The Rescuers Down Under,0,1990,\N,77,"Adventure,Animation,Comedy",the rescuers down under,both
5486,The Rocketeer,tt0102803,movie,The Rocketeer,The Rocketeer,0,1991,\N,108,"Action,Adventure,Family",the rocketeer,both
5499,The Rookie,tt0265662,movie,The Rookie,The Rookie,0,2002,\N,127,"Drama,Family,Sport",the rookie,both
5530,The Santa Clause,tt0111070,movie,The Santa Clause,The Santa Clause,0,1994,\N,97,"Comedy,Drama,Family",the santa clause,both
5539,The Santa Clause 2,tt0304669,movie,The Santa Clause 2,The Santa Clause 2,0,2002,\N,104,"Comedy,Family,Fantasy",the santa clause 2,both
5541,The Santa Clause 3: The Escape Clause,tt0452681,movie,The Santa Clause 3: The Escape Clause,The Santa Clause 3: The Escape Clause,0,2006,\N,97,"Adventure,Comedy,Family",the santa clause 3 the escape clause,both
5546,The Secret of The Magic Gourd,tt0496386,movie,The Secret of the Magic Gourd,Bao hu lu de mi mi,0,2007,\N,84,"Drama,Family",the secret of the magic gourd,both
5547,The Secret of The Magic Gourd,tt6476724,movie,The Secret of the Magic Gourd,Bao hu lu de bi mi,0,1963,\N,68,"Comedy,Drama,Fantasy",the secret of the magic gourd,both
5548,The Shaggy D.A.,tt0075200,movie,The Shaggy D.A.,The Shaggy D.A.,0,1976,\N,91,"Comedy,Family,Fantasy",the shaggy da,both
5550,The Shaggy Dog,tt0053271,movie,The Shaggy Dog,The Shaggy Dog,0,1959,\N,104,"Comedy,Family,Fantasy",the shaggy dog,both
5552,The Shaggy Dog,tt0393735,movie,The Shaggy Dog,The Shaggy Dog,0,2006,\N,98,"Comedy,Family,Fantasy",the shaggy dog,both
5556,The Sign of Zorro,tt0054307,movie,The Sign of Zorro,The Sign of Zorro,0,1958,\N,91,"Adventure,Drama,Family",the sign of zorro,both
5567,The Sorcerer's Apprentice,tt0963966,movie,The Sorcerer's Apprentice,The Sorcerer's Apprentice,0,2010,\N,109,"Action,Adventure,Family",the sorcerers apprentice,both
5585,The Story of Robin Hood and His Merrie Men,tt0045197,movie,The Story of Robin Hood and His Merrie Men,The Story of Robin Hood and His Merrie Men,0,1952,\N,84,"Action,Adventure,Family",the story of robin hood and his merrie men,both
5586,The Straight Story,tt0166896,movie,The Straight Story,The Straight Story,0,1999,\N,112,"Biography,Drama",the straight story,both
5589,The Strongest Man in the World,tt0073760,movie,The Strongest Man in the World,The Strongest Man in the World,0,1975,\N,92,"Comedy,Family,Sci-Fi",the strongest man in the world,both
5595,The Sword and the Rose,tt0046387,movie,The Sword and the Rose,The Sword and the Rose,0,1953,\N,92,"Adventure,Drama,Family",the sword and the rose,both
5596,The Sword and the Rose,tt1686635,movie,The Sword and the Rose,A Espada e a Rosa,0,2010,\N,142,"Adventure,Drama,Fantasy",the sword and the rose,both
5597,The Sword in the Stone,tt0057546,movie,The Sword in the Stone,The Sword in the Stone,0,1963,\N,79,"Adventure,Animation,Comedy",the sword in the stone,both
5602,The Sword in the Stone,tt4872762,movie,The Sword in the Stone,The Sword in the Stone,0,2024,\N,\N,"Action,Adventure,Family",the sword in the stone,both
5604,The Three Caballeros,tt0038166,movie,The Three Caballeros,The Three Caballeros,0,1944,\N,71,"Animation,Comedy,Family",the three caballeros,both
5608,The Three Lives Of Thomasina,tt0057579,movie,The Three Lives of Thomasina,The Three Lives of Thomasina,0,1963,\N,97,"Drama,Family",the three lives of thomasina,both
5620,The Three Musketeers,tt0108333,movie,The Three Musketeers,The Three Musketeers,0,1993,\N,105,"Action,Adventure,Comedy",the three musketeers,both
5678,The Tigger Movie,tt0220099,movie,The Tigger Movie,The Tigger Movie,0,2000,\N,77,"Adventure,Animation,Comedy",the tigger movie,both
5680,The Ugly Dachshund,tt0061135,movie,The Ugly Dachshund,The Ugly Dachshund,0,1966,\N,93,"Comedy,Family",the ugly dachshund,both
5681,The Vanishing Prairie,tt0047642,movie,The Vanishing Prairie,The Vanishing Prairie,0,1954,\N,71,"Documentary,Family",the vanishing prairie,both
5683,The Watcher in the Woods,tt0081738,movie,The Watcher in the Woods,The Watcher in the Woods,0,1980,\N,84,"Family,Horror,Mystery",the watcher in the woods,both
5687,The Wild,tt0405469,movie,The Wild,The Wild,0,2006,\N,95,"Adventure,Animation,Comedy",the wild,both
5700,The Wild Country,tt0067985,movie,The Wild Country,The Wild Country,0,1970,\N,100,"Action,Adventure,Comedy",the wild country,both
5701,The World's Greatest Athlete,tt0070928,movie,The World's Greatest Athlete,The World's Greatest Athlete,0,1973,\N,93,"Comedy,Family,Romance",the worlds greatest athlete,both
5702,The Young Black Stallion,tt0318850,movie,The Young Black Stallion,The Young Black Stallion,0,2003,\N,50,"Adventure,Drama,Family",the young black stallion,both
5703,Third Man on the Mountain,tt0053352,movie,Third Man on the Mountain,Third Man on the Mountain,0,1959,\N,107,"Adventure,Drama,Family",third man on the mountain,both
5707,Thor Ragnarok,tt3501632,movie,Thor: Ragnarok,Thor: Ragnarok,0,2017,\N,130,"Action,Adventure,Comedy",thor ragnarok,both
5720,Those Calloways,tt0059796,movie,Those Calloways,Those Calloways,0,1965,\N,131,"Drama,Family",those calloways,both
5722,Toby Tyler,tt0054390,movie,Toby Tyler or Ten Weeks with a Circus,Toby Tyler or Ten Weeks with a Circus,0,1960,\N,96,"Drama,Family",toby tyler or ten weeks with a circus,both
5723,Tom and Huck,tt0112302,movie,Tom and Huck,Tom and Huck,0,1995,\N,97,"Adventure,Comedy,Drama",tom and huck,both
5731,Tomorrowland,tt1964418,movie,Tomorrowland,Tomorrowland,0,2015,\N,130,"Action,Adventure,Family",tomorrowland,both
5745,Tonka,tt0052300,movie,Tonka,Tonka,0,1958,\N,97,"Adventure,Drama,Family",tonka,both
5768,Toy Story,tt0114709,movie,Toy Story,Toy Story,0,1995,\N,81,"Adventure,Animation,Comedy",toy story,both
5799,Toy Story 2,tt0120363,movie,Toy Story 2,Toy Story 2,0,1999,\N,92,"Adventure,Animation,Comedy",toy story 2,both
5809,Toy Story 3,tt0435761,movie,Toy Story 3,Toy Story 3,0,2010,\N,103,"Adventure,Animation,Comedy",toy story 3,both
5841,Toy Story 4,tt1979376,movie,Toy Story 4,Toy Story 4,0,2019,\N,100,"Adventure,Animation,Comedy",toy story 4,both
5843,Trail of the Panda,tt1247700,movie,Trail of the Panda,Xiong mao hui jia lu,0,2009,\N,87,"Adventure,Family",trail of the panda,both
5849,Treasure Island,tt0043067,movie,Treasure Island,Treasure Island,0,1950,\N,96,"Adventure,Family",treasure island,both
5926,Treasure Of Matecumbe,tt0075347,movie,Treasure of Matecumbe,Treasure of Matecumbe,0,1976,\N,117,"Adventure,Family,Western",treasure of matecumbe,both
5928,Treasure Planet,tt0133240,movie,Treasure Planet,Treasure Planet,0,2002,\N,95,"Adventure,Animation,Family",treasure planet,both
5936,Trenchcoat,tt0086476,movie,Trenchcoat,Trenchcoat,0,1983,\N,91,"Comedy,Mystery,Thriller",trenchcoat,both
5939,Tron,tt0084827,movie,TRON,TRON,0,1982,\N,96,"Action,Adventure,Sci-Fi",tron,both
5954,TRON: Legacy,tt1104001,movie,TRON: Legacy,Tron,0,2010,\N,125,"Action,Adventure,Sci-Fi",tron legacy,both
5962,Tuck Everlasting,tt0081664,movie,Tuck Everlasting,Tuck Everlasting,0,1981,\N,90,"Drama,Family,Fantasy",tuck everlasting,both
5963,Tuck Everlasting,tt0283084,movie,Tuck Everlasting,Tuck Everlasting,0,2002,\N,90,"Drama,Family,Fantasy",tuck everlasting,both
5968,Turning Red,tt8097030,movie,Turning Red,Turning Red,0,2022,\N,100,"Adventure,Animation,Comedy",turning red,both
5980,Underdog,tt0467110,movie,Underdog,Underdog,0,2007,\N,100,"Action,Adventure,Comedy",underdog,both
6007,Unidentified Flying Oddball,tt0080062,movie,Unidentified Flying Oddball,The Spaceman and King Arthur,0,1979,\N,93,"Adventure,Comedy,Family",unidentified flying oddball,both
6009,Up,tt0075376,movie,Up!,Up!,0,1976,\N,80,"Comedy,Mystery,Thriller",up,both
6013,Up,tt1049413,movie,Up,Up,0,2009,\N,96,"Adventure,Animation,Comedy",up,both
6044,Valiant,tt0361089,movie,Valiant,Valiant,0,2005,\N,76,"Adventure,Animation,Comedy",valiant,both
6057,Waking Sleeping Beauty,tt1159961,movie,Waking Sleeping Beauty,Waking Sleeping Beauty,0,2009,\N,86,"Documentary,Drama,History",waking sleeping beauty,both
6059,Wall-E,tt0910970,movie,WALL·E,WALL·E,0,2008,\N,98,"Adventure,Animation,Family",walle,both
6070,Walt & El Grupo,tt1223150,movie,Walt & El Grupo,Walt & El Grupo,0,2008,\N,106,Documentary,walt  el grupo,both
6074,"Westward Ho, The Wagons!",tt0049945,movie,"Westward Ho, the Wagons!","Westward Ho, the Wagons!",0,1956,\N,90,"Family,Western",westward ho the wagons,both
6075,Where The Red Fern Grows,tt0072402,movie,Where the Red Fern Grows,Where the Red Fern Grows,0,1974,\N,97,"Drama,Family",where the red fern grows,both
6076,Where The Red Fern Grows,tt0192788,movie,Where the Red Fern Grows,Where the Red Fern Grows,0,2003,\N,86,"Drama,Family",where the red fern grows,both
6078,Whispers: An Elephant's Tale,tt0185007,movie,Whispers: An Elephant's Tale,Whispers: An Elephant's Tale,0,2000,\N,72,"Adventure,Family",whispers an elephants tale,both
6082,White Fang,tt0103247,movie,White Fang,White Fang,0,1991,\N,107,"Adventure,Drama",white fang,both
6091,White Fang 2: Myth of the White Wolf,tt0111701,movie,White Fang 2: Myth of the White Wolf,White Fang 2: Myth of the White Wolf,0,1994,\N,106,"Adventure,Family",white fang 2 myth of the white wolf,both
6092,White Wilderness,tt0052389,movie,White Wilderness,White Wilderness,0,1958,\N,72,"Documentary,Family",white wilderness,both
6094,Wild Hearts Can't Be Broken,tt0103262,movie,Wild Hearts Can't Be Broken,Wild Hearts Can't Be Broken,0,1991,\N,88,"Drama,Family,Romance",wild hearts cant be broken,both
6095,Wings of Life,tt1222816,movie,Disneynature: Wings of Life,Pollen,0,2011,\N,81,"Documentary,Family,News",disneynature wings of life,both
6096,Winnie the Pooh (2011),tt1449283,movie,Winnie the Pooh,Winnie the Pooh,0,2011,\N,63,"Adventure,Animation,Comedy",winnie the pooh,both
6097,Winnie the Pooh: A Very Merry Pooh Year,tt0324572,movie,Winnie the Pooh: A Very Merry Pooh Year,Winnie the Pooh: A Very Merry Pooh Year,0,2002,\N,65,"Animation,Comedy,Drama",winnie the pooh a very merry pooh year,both
6106,Wreck-It Ralph,tt1772341,movie,Wreck-It Ralph,Wreck-It Ralph,0,2012,\N,101,"Adventure,Animation,Comedy",wreckit ralph,both
6115,Yellowstone Cubs,tt0206446,movie,Yellowstone Cubs,Yellowstone Cubs,0,1963,\N,48,"Adventure,Family",yellowstone cubs,both
6117,Zokkomon,tt1605790,movie,Zokkomon,Zokkomon,0,2011,\N,109,"Action,Adventure,Family",zokkomon,both
6124,Zootopia,tt2948356,movie,Zootopia,Zootopia,0,2016,\N,108,"Adventure,Animation,Comedy",zootopia,both
